Symbol,Year,Month,Week,Day,Hour,Minute,Open,High,Low,Close,Volume
EURJPY,2017,3,5,31,1,30,119.416,119.464,119.398,119.463,1895.000,
EURJPY,2017,3,5,31,1,0,119.465,119.468,119.384,119.415,1859.000,
EURJPY,2017,3,5,31,0,30,119.424,119.475,119.400,119.465,1591.000,
EURJPY,2017,3,5,31,0,0,119.457,119.502,119.382,119.422,1128.000,
EURJPY,2017,3,4,30,23,30,119.453,119.513,119.422,119.468,2334.000,
EURJPY,2017,3,4,30,23,0,119.394,119.448,119.376,119.447,1638.000,
EURJPY,2017,3,4,30,22,30,119.357,119.454,119.330,119.395,3063.000,
EURJPY,2017,3,4,30,22,0,119.298,119.375,119.223,119.357,3125.000,
EURJPY,2017,3,4,30,21,30,119.274,119.315,119.257,119.299,2674.000,
EURJPY,2017,3,4,30,21,0,119.160,119.301,119.130,119.274,3547.000,
EURJPY,2017,3,4,30,20,30,119.110,119.203,119.079,119.160,3476.000,
EURJPY,2017,3,4,30,20,0,119.219,119.220,119.103,119.110,4648.000,
EURJPY,2017,3,4,30,19,30,119.384,119.390,119.194,119.219,3509.000,
EURJPY,2017,3,4,30,19,0,119.451,119.492,119.377,119.384,3282.000,
EURJPY,2017,3,4,30,18,30,119.454,119.482,119.348,119.452,3970.000,
EURJPY,2017,3,4,30,18,0,119.483,119.511,119.419,119.453,5081.000,
EURJPY,2017,3,4,30,17,30,119.458,119.491,119.373,119.483,5519.000,
EURJPY,2017,3,4,30,17,0,119.421,119.563,119.406,119.459,5244.000,
EURJPY,2017,3,4,30,16,30,119.376,119.488,119.335,119.420,8327.000,
EURJPY,2017,3,4,30,16,0,119.414,119.614,119.264,119.377,6343.000,
EURJPY,2017,3,4,30,15,30,119.396,119.533,119.369,119.415,5836.000,
EURJPY,2017,3,4,30,15,0,119.340,119.499,119.321,119.396,4343.000,
EURJPY,2017,3,4,30,14,30,119.374,119.409,119.295,119.342,3286.000,
EURJPY,2017,3,4,30,14,0,119.356,119.435,119.291,119.374,3503.000,
EURJPY,2017,3,4,30,13,30,119.328,119.376,119.251,119.356,3002.000,
EURJPY,2017,3,4,30,13,0,119.415,119.431,119.327,119.327,3390.000,
EURJPY,2017,3,4,30,12,30,119.244,119.474,119.238,119.416,4284.000,
EURJPY,2017,3,4,30,12,0,119.180,119.336,119.168,119.245,3559.000,
EURJPY,2017,3,4,30,11,30,119.342,119.349,119.165,119.177,3650.000,
EURJPY,2017,3,4,30,11,0,119.257,119.347,119.164,119.342,3819.000,
EURJPY,2017,3,4,30,10,30,119.366,119.422,119.215,119.254,4193.000,
EURJPY,2017,3,4,30,10,0,119.554,119.559,119.281,119.366,4972.000,
EURJPY,2017,3,4,30,9,30,119.572,119.614,119.495,119.552,2829.000,
EURJPY,2017,3,4,30,9,0,119.581,119.604,119.498,119.571,3289.000,
EURJPY,2017,3,4,30,8,30,119.527,119.582,119.484,119.582,2101.000,
EURJPY,2017,3,4,30,8,0,119.668,119.669,119.487,119.528,2731.000,
EURJPY,2017,3,4,30,7,30,119.602,119.672,119.598,119.668,1560.000,
EURJPY,2017,3,4,30,7,0,119.624,119.651,119.594,119.598,1521.000,
EURJPY,2017,3,4,30,6,30,119.620,119.656,119.594,119.623,1717.000,
EURJPY,2017,3,4,30,6,0,119.609,119.655,119.567,119.620,2204.000,
EURJPY,2017,3,4,30,5,30,119.662,119.695,119.574,119.609,2238.000,
EURJPY,2017,3,4,30,5,0,119.773,119.784,119.662,119.662,3140.000,
EURJPY,2017,3,4,30,4,30,119.809,119.843,119.717,119.771,3146.000,
EURJPY,2017,3,4,30,4,0,119.705,119.811,119.704,119.810,3039.000,
EURJPY,2017,3,4,30,3,30,119.604,119.729,119.561,119.705,2848.000,
EURJPY,2017,3,4,30,3,0,119.570,119.651,119.538,119.603,3649.000,
EURJPY,2017,3,4,30,2,30,119.516,119.592,119.507,119.571,1810.000,
EURJPY,2017,3,4,30,2,0,119.582,119.595,119.513,119.516,1335.000,
EURJPY,2017,3,4,30,1,30,119.566,119.620,119.513,119.583,1657.000,
EURJPY,2017,3,4,30,1,0,119.523,119.616,119.515,119.567,2389.000,
EURJPY,2017,3,4,30,0,30,119.524,119.548,119.498,119.521,1109.000,
EURJPY,2017,3,4,30,0,0,119.498,119.554,119.477,119.514,925.000,
EURJPY,2017,3,3,29,23,30,119.542,119.549,119.489,119.530,1608.000,
EURJPY,2017,3,3,29,23,0,119.528,119.571,119.489,119.543,1845.000,
EURJPY,2017,3,3,29,22,30,119.506,119.551,119.449,119.530,2660.000,
EURJPY,2017,3,3,29,22,0,119.458,119.521,119.441,119.507,2600.000,
EURJPY,2017,3,3,29,21,30,119.459,119.491,119.405,119.455,2144.000,
EURJPY,2017,3,3,29,21,0,119.478,119.535,119.444,119.458,2222.000,
EURJPY,2017,3,3,29,20,30,119.467,119.508,119.420,119.482,2946.000,
EURJPY,2017,3,3,29,20,0,119.386,119.472,119.366,119.467,3163.000,
EURJPY,2017,3,3,29,19,30,119.498,119.498,119.372,119.385,2583.000,
EURJPY,2017,3,3,29,19,0,119.439,119.517,119.417,119.500,2796.000,
EURJPY,2017,3,3,29,18,30,119.348,119.483,119.342,119.440,4825.000,
EURJPY,2017,3,3,29,18,0,119.324,119.386,119.252,119.348,5472.000,
EURJPY,2017,3,3,29,17,30,119.238,119.522,119.227,119.322,6403.000,
EURJPY,2017,3,3,29,17,0,119.256,119.317,119.153,119.239,5396.000,
EURJPY,2017,3,3,29,16,30,119.265,119.299,119.156,119.255,6197.000,
EURJPY,2017,3,3,29,16,0,119.309,119.363,119.197,119.266,4932.000,
EURJPY,2017,3,3,29,15,30,119.318,119.357,119.209,119.305,5181.000,
EURJPY,2017,3,3,29,15,0,119.164,119.320,119.009,119.319,7181.000,
EURJPY,2017,3,3,29,14,30,119.631,119.634,119.047,119.166,7193.000,
EURJPY,2017,3,3,29,14,0,119.746,119.764,119.604,119.632,3950.000,
EURJPY,2017,3,3,29,13,30,119.798,119.818,119.744,119.745,2478.000,
EURJPY,2017,3,3,29,13,0,119.801,119.802,119.721,119.799,2578.000,
EURJPY,2017,3,3,29,12,30,119.719,119.811,119.682,119.803,3099.000,
EURJPY,2017,3,3,29,12,0,119.706,119.801,119.668,119.721,3589.000,
EURJPY,2017,3,3,29,11,30,119.868,119.918,119.664,119.705,4271.000,
EURJPY,2017,3,3,29,11,0,119.812,119.968,119.763,119.867,3882.000,
EURJPY,2017,3,3,29,10,30,119.825,119.881,119.719,119.813,4402.000,
EURJPY,2017,3,3,29,10,0,119.997,120.003,119.778,119.826,4709.000,
EURJPY,2017,3,3,29,9,30,120.061,120.085,119.958,119.996,4020.000,
EURJPY,2017,3,3,29,9,0,120.175,120.181,120.045,120.061,4167.000,
EURJPY,2017,3,3,29,8,30,120.170,120.180,120.112,120.175,2402.000,
EURJPY,2017,3,3,29,8,0,120.222,120.241,120.155,120.168,1858.000,
EURJPY,2017,3,3,29,7,30,120.255,120.255,120.212,120.223,1302.000,
EURJPY,2017,3,3,29,7,0,120.299,120.311,120.230,120.253,1397.000,
EURJPY,2017,3,3,29,6,30,120.377,120.378,120.276,120.297,1824.000,
